poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD035473,Wave Pool 1,Recreation & Sports,17.218366579487178,78.52962361025641,9908953405
HYD006057,Grace Fitness Gym,Recreation & Sports,17.5184798,78.396515,1906537069
HYD006078,Naren Fitness,Recreation & Sports,17.497158,78.3619488,13274254103
HYD034734,Decathlon,Recreation & Sports,17.4028768,78.58442811666666,8196164328
HYD031757,Tariq Sports Academy,Recreation & Sports,17.453677239999998,78.49790809999999,3598264817
HYD035464,Secunderabad Club Swimming Pool,Recreation & Sports,17.453215680000003,78.49762892000001,3598264827
HYD031682,Cricket Net,Recreation & Sports,17.40505174,78.55015328,3612571079
HYD006053,GK fitness,Recreation & Sports,17.3777749,78.4603372,2852234220
HYD006032,Austin Fitness,Recreation & Sports,17.4485266,78.3591506,1692848886
HYD031711,JNTU Ground,Recreation & Sports,17.492552760000002,78.39037145,1427659078
